NOME_CURSO,CURRICULO,TURMA_PREF,Total_Alunos_Ativos
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,4,COMP20181_A,3
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,4,COMP20182_A,1
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,4,COMP20191_A,3
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,4,COMP20192_A,2
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,4,COMP20201_A,7
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,4,COMP20202_A,3
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,4,COMP20211_A,26
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,4,COMP20212_A,8
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,4,COMP20221_A,40
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,COMP2022.2,COMP20201_A,1
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,COMP2022.2,COMP20211_A,1
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,COMP2022.2,COMP20221_A,4
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,COMP2022.2,COMP20222_A,34
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,COMP2022.2,COMP20222_B,28
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,COMP2022.2,COMP20231_A,38
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,COMP2022.2,COMP20231_B,28
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,COMP2022.2,COMP20232_A,46
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,COMP2022.2,COMP20232_B,43
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,COMP2022.2,COMP20241_A,44
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,COMP2022.2,COMP20241_B,44
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,COMP2022.2,COMP20242_A,58
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,COMP2022.2,COMP20242_B,44
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,COMP2022.2,COMP20251_A,52
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,COMP2022.2,COMP20251_B,53
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,COMP2022.2,COMP20252_A,54
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,COMP2022.2,COMP20252_B,58
BACHARELADO EM DESIGN,4,DESG20191_A,1
BACHARELADO EM DESIGN,4,DESG20192_A,2
